timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134003,0a254278ae4c163514f807785d455bde89a7aa67,,1745226462,"🔧 (config/urls.yaml): add annotations, labels and other details for ingress and HTTPRoute resources",,,x,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,0,,
20260324_134003,0454868e2902c756b69d62b2ffef148e08d3bf0b,0a254278ae4c163514f807785d455bde89a7aa67,1746435494,add disable ssl by default,https://github.com/didlawowo/portal-checker/compare/0a254278ae4c163514f807785d455bde89a7aa67...0454868e2902c756b69d62b2ffef148e08d3bf0b,1,x,0,,0,,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,
20260324_134003,77153090130fe665f7d69b708bf9c78e986a6ed6,0454868e2902c756b69d62b2ffef148e08d3bf0b,1749672643,fix: path data prod,https://github.com/didlawowo/portal-checker/compare/0454868e2902c756b69d62b2ffef148e08d3bf0b...77153090130fe665f7d69b708bf9c78e986a6ed6,2,x,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124,0,,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1,1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,
20260324_134003,752886fb0196965316026231688a4289a29633cf,77153090130fe665f7d69b708bf9c78e986a6ed6,1750020918,feat: add test unit and coverage,https://github.com/didlawowo/portal-checker/compare/77153090130fe665f7d69b708bf9c78e986a6ed6...752886fb0196965316026231688a4289a29633cf,6,x,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1,
20260324_134003,52ca1324bd6261f05fde44c1a32728862ee72351,752886fb0196965316026231688a4289a29633cf,1750053440,feat: add test coverage,https://github.com/didlawowo/portal-checker/compare/752886fb0196965316026231688a4289a29633cf...52ca1324bd6261f05fde44c1a32728862ee72351,2,x,0,,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
20260324_134003,ea96b8ed56b8cd6eed382328e41b7c20b5ae99fa,52ca1324bd6261f05fde44c1a32728862ee72351,1750101666,feat: unify HTTPRoute annotations system with Ingress,https://github.com/didlawowo/portal-checker/compare/52ca1324bd6261f05fde44c1a32728862ee72351...ea96b8ed56b8cd6eed382328e41b7c20b5ae99fa,11,x,1,Flask_NoModifyAfterServe:/tests/test_annotations_display.py:14,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1;Flask_NoModifyAfterServe:/tests/test_annotations_display.py:14=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1734=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1124=1;Flask_NoModifyAfterServe:/tests/test_flask_routes.py:17=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;Pydocs_MustShutdownThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;Pydocs_UselessThreadPoolExecutor:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1,
