timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_105520,41fd34fdfaccf6f85a4869b3f1d415b4adc1c911,dfd5455a1ae068859a5e4fc754f7cdc0ae0995cf,1756206758,"chore(BE | crew, django_app): EST-925 change default value for similarity_threshold",https://github.com/EpicStaff/EpicStaff/compare/dfd5455a1ae068859a5e4fc754f7cdc0ae0995cf...41fd34fdfaccf6f85a4869b3f1d415b4adc1c911,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,e762913b75270f10ddd8d7bea6b7439a1b5d5064,41fd34fdfaccf6f85a4869b3f1d415b4adc1c911,1756732139,"feat (BE | django_app): add export serializers for agents, crews and flows",https://github.com/EpicStaff/EpicStaff/compare/41fd34fdfaccf6f85a4869b3f1d415b4adc1c911...e762913b75270f10ddd8d7bea6b7439a1b5d5064,33,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,fbffdcac01baa9d4fce1e8d1990a14777fe96e1d,e762913b75270f10ddd8d7bea6b7439a1b5d5064,1756732180,"feat (BE | django_app): add import serializer for agents, crews and flows",https://github.com/EpicStaff/EpicStaff/compare/e762913b75270f10ddd8d7bea6b7439a1b5d5064...fbffdcac01baa9d4fce1e8d1990a14777fe96e1d,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,40280e9b515149f5e7aecc97542f3ac7b5bf948f,fbffdcac01baa9d4fce1e8d1990a14777fe96e1d,1756732254,feat (BE | django_app): add endpoints for import/export functionality,https://github.com/EpicStaff/EpicStaff/compare/fbffdcac01baa9d4fce1e8d1990a14777fe96e1d...40280e9b515149f5e7aecc97542f3ac7b5bf948f,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,863b4e7c1ad58819d0cc7a75a0f716e849c12e08,40280e9b515149f5e7aecc97542f3ac7b5bf948f,1756799624,fix (BE | django_app): remove explicit definition of  distance_threshold in export models,https://github.com/EpicStaff/EpicStaff/compare/40280e9b515149f5e7aecc97542f3ac7b5bf948f...863b4e7c1ad58819d0cc7a75a0f716e849c12e08,29,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,a38165d7712e2e6aab3b665c3df066e7a9e8941f,863b4e7c1ad58819d0cc7a75a0f716e849c12e08,1756799699,fix (BE | django_app): improve handling of None values for import serializer,https://github.com/EpicStaff/EpicStaff/compare/863b4e7c1ad58819d0cc7a75a0f716e849c12e08...a38165d7712e2e6aab3b665c3df066e7a9e8941f,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,55964602714f37a57a5e0a95e68b579e4abbc7f1,a38165d7712e2e6aab3b665c3df066e7a9e8941f,1756803602,"fix(BE | crew): EST-904 add message ""graph_end"" in channel ""graph:messages"" as graph final message",https://github.com/EpicStaff/EpicStaff/compare/a38165d7712e2e6aab3b665c3df066e7a9e8941f...55964602714f37a57a5e0a95e68b579e4abbc7f1,10,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,6165e2f4707e050ad38ba136ca8fe2a451d53b31,55964602714f37a57a5e0a95e68b579e4abbc7f1,1756803822,"fix(BE | django_app): EST-904 fix ordering from_redis and from_db in initial messages handler, add session_id to status messages, optimiza loops",https://github.com/EpicStaff/EpicStaff/compare/55964602714f37a57a5e0a95e68b579e4abbc7f1...6165e2f4707e050ad38ba136ca8fe2a451d53b31,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,2be5f10b6533f9420a36344fee720c8c00aa7281,6165e2f4707e050ad38ba136ca8fe2a451d53b31,1756808406,fix(BE | django_app): remove related sessions from db after deleting flow,https://github.com/EpicStaff/EpicStaff/compare/6165e2f4707e050ad38ba136ca8fe2a451d53b31...2be5f10b6533f9420a36344fee720c8c00aa7281,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
20251229_105520,0e3f778384a524b0ba300cb2ffedea9d1ce2fbff,2be5f10b6533f9420a36344fee720c8c00aa7281,1756902305,fix(BE | crew): EST-966 add loging for agent temperature received from django,https://github.com/EpicStaff/EpicStaff/compare/2be5f10b6533f9420a36344fee720c8c00aa7281...0e3f778384a524b0ba300cb2ffedea9d1ce2fbff,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=38;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=36
