timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_105924,2d6db16518f185a83da645facf4efaeacc731b11,,1634502312,17.10.2021,,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,0,
20251229_105924,fc8ddb5e0d49eea8e09c701ac62b3b3a3932dbfc,324f504c1a7ef14a1d61c3674d9c4056a7588c44,1641109673,02.01.2022,https://github.com/ervand7/Summary/compare/324f504c1a7ef14a1d61c3674d9c4056a7588c44...fc8ddb5e0d49eea8e09c701ac62b3b3a3932dbfc,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,5cc4f5bdabbba52c27b5dba936d592250a9cbefc,fc8ddb5e0d49eea8e09c701ac62b3b3a3932dbfc,1641109782,02.01.2022,https://github.com/ervand7/Summary/compare/fc8ddb5e0d49eea8e09c701ac62b3b3a3932dbfc...5cc4f5bdabbba52c27b5dba936d592250a9cbefc,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,84779033bb0d8ed38e6cde00242120ec35a58aa6,5cc4f5bdabbba52c27b5dba936d592250a9cbefc,1641112543,02.01.2022,https://github.com/ervand7/Summary/compare/5cc4f5bdabbba52c27b5dba936d592250a9cbefc...84779033bb0d8ed38e6cde00242120ec35a58aa6,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,2b51c111f4fa48bbda9381a2c189b4fbd3e9e483,84779033bb0d8ed38e6cde00242120ec35a58aa6,1641318450,04.01.2022,https://github.com/ervand7/Summary/compare/84779033bb0d8ed38e6cde00242120ec35a58aa6...2b51c111f4fa48bbda9381a2c189b4fbd3e9e483,5,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,53080fd3bf04dedc9985102d7a093d263aa00b16,2b51c111f4fa48bbda9381a2c189b4fbd3e9e483,1641319378,04.01.2022,https://github.com/ervand7/Summary/compare/2b51c111f4fa48bbda9381a2c189b4fbd3e9e483...53080fd3bf04dedc9985102d7a093d263aa00b16,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,d91493dc3fc6279b160245355db1123168400ee0,53080fd3bf04dedc9985102d7a093d263aa00b16,1641319632,04.01.2022,https://github.com/ervand7/Summary/compare/53080fd3bf04dedc9985102d7a093d263aa00b16...d91493dc3fc6279b160245355db1123168400ee0,15,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,4daa471da4f8cf0ba80a9d5b1e6467b028d3f79b,d91493dc3fc6279b160245355db1123168400ee0,1641354195,05.01.2022,https://github.com/ervand7/Summary/compare/d91493dc3fc6279b160245355db1123168400ee0...4daa471da4f8cf0ba80a9d5b1e6467b028d3f79b,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,f898bcbea5de12a9e06b073093c0b7ba6c069819,4daa471da4f8cf0ba80a9d5b1e6467b028d3f79b,1641365816,05.01.2022,https://github.com/ervand7/Summary/compare/4daa471da4f8cf0ba80a9d5b1e6467b028d3f79b...f898bcbea5de12a9e06b073093c0b7ba6c069819,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,963b0ba14011caba800a141c31865a64c72c8d0f,f898bcbea5de12a9e06b073093c0b7ba6c069819,1641370471,05.01.2022,https://github.com/ervand7/Summary/compare/f898bcbea5de12a9e06b073093c0b7ba6c069819...963b0ba14011caba800a141c31865a64c72c8d0f,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,1f66a540e61b2bbe8b5eb2aba5fe0a38fc6592f4,963b0ba14011caba800a141c31865a64c72c8d0f,1641370541,05.01.2022,https://github.com/ervand7/Summary/compare/963b0ba14011caba800a141c31865a64c72c8d0f...1f66a540e61b2bbe8b5eb2aba5fe0a38fc6592f4,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
