timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_105700,e696419c7ca8693525bc595d4087b15289aee788,7fac806450a0878ff47b7e020af3eecab97fe215,1648220492,Add example to get Stiffness,https://github.com/3MAH/fedoo/compare/7fac806450a0878ff47b7e020af3eecab97fe215...e696419c7ca8693525bc595d4087b15289aee788,1,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,e95279c3aa771d052f403ac446d0b22d636f2a59,e696419c7ca8693525bc595d4087b15289aee788,1648245136,Update PeriodicBoundaryCondition.py,https://github.com/3MAH/fedoo/compare/e696419c7ca8693525bc595d4087b15289aee788...e95279c3aa771d052f403ac446d0b22d636f2a59,1,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,4274ba6018cad7526d5a44ef142a52917fdc22ce,e95279c3aa771d052f403ac446d0b22d636f2a59,1648247585,Added examples for non-periodic meshes,https://github.com/3MAH/fedoo/compare/e95279c3aa771d052f403ac446d0b22d636f2a59...4274ba6018cad7526d5a44ef142a52917fdc22ce,7,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,2104e2e9cdd45c518020f07d9abdc23d227e0458,4274ba6018cad7526d5a44ef142a52917fdc22ce,1648720009,Fix 'tet10' and 'hex20' elements : - correct the shape functions for element 'tet10' and 'hex20' - number orders of shape function for import and export to and from msh and vtk files have been corrected,https://github.com/3MAH/fedoo/compare/4274ba6018cad7526d5a44ef142a52917fdc22ce...2104e2e9cdd45c518020f07d9abdc23d227e0458,9,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,ac5dd0a879a2ef22969ab4325038ef5f1539590a,2104e2e9cdd45c518020f07d9abdc23d227e0458,1649259203,build and test workflow,https://github.com/3MAH/fedoo/compare/2104e2e9cdd45c518020f07d9abdc23d227e0458...ac5dd0a879a2ef22969ab4325038ef5f1539590a,11,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,f870c264916f8405e1406492d999be6a9d4b1494,ac5dd0a879a2ef22969ab4325038ef5f1539590a,1649923070,New : ModelingSpace is now attached to the WeakForm object and the derived objects (Assembly and Problem) ModelingSpace object have been modified and include now the elementary some generation of OpDiff object using the opdiff method.,https://github.com/3MAH/fedoo/compare/ac5dd0a879a2ef22969ab4325038ef5f1539590a...f870c264916f8405e1406492d999be6a9d4b1494,50,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,a7fa8934859e3c3f37b172aebab97544a5526903,f870c264916f8405e1406492d999be6a9d4b1494,1650986646,- Add FE2 constitutive law and example,https://github.com/3MAH/fedoo/compare/f870c264916f8405e1406492d999be6a9d4b1494...a7fa8934859e3c3f37b172aebab97544a5526903,14,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,9baad0661391b5c97ed6c17ac72c73e3327e3974,a7fa8934859e3c3f37b172aebab97544a5526903,1650987778,Add material_point_solver example,https://github.com/3MAH/fedoo/compare/a7fa8934859e3c3f37b172aebab97544a5526903...9baad0661391b5c97ed6c17ac72c73e3327e3974,1,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,e58e3f43297848f98c4af1282fdc85078dc8ccb2,9baad0661391b5c97ed6c17ac72c73e3327e3974,1651071843,- Add WeakFormSum object to sum several WeakForm - Add 'Wm' as available output for problems,https://github.com/3MAH/fedoo/compare/9baad0661391b5c97ed6c17ac72c73e3327e3974...e58e3f43297848f98c4af1282fdc85078dc8ccb2,11,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105700,9477ec44ff4f0720f9f4dfca980327e894fd1f63,e58e3f43297848f98c4af1282fdc85078dc8ccb2,1651153839,- Add a GetWm method to the FE2 constitutive law,https://github.com/3MAH/fedoo/compare/e58e3f43297848f98c4af1282fdc85078dc8ccb2...9477ec44ff4f0720f9f4dfca980327e894fd1f63,6,0.0,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
