timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_105831,6845c7806281fde35abc6ef492eefbd22d2e5952,,1576572618,added files,,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,0,
20251229_105831,da0e1221f4fcf16ccb3d9d1c8c2fbff0420d8515,8f9065224d1a14ae3507a6552ffd25346d949c00,1577968337,"fixed code examples, updated readme",https://github.com/hstarmans/hexastorm/compare/8f9065224d1a14ae3507a6552ffd25346d949c00...da0e1221f4fcf16ccb3d9d1c8c2fbff0420d8515,6,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,23a6a926193c3012bcafff72290e4dc1754f051b,da0e1221f4fcf16ccb3d9d1c8c2fbff0420d8515,1577968603,added buildnames,https://github.com/hstarmans/hexastorm/compare/da0e1221f4fcf16ccb3d9d1c8c2fbff0420d8515...23a6a926193c3012bcafff72290e4dc1754f051b,5,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,234a0529d34f54c650702209da85bc425a55c514,23a6a926193c3012bcafff72290e4dc1754f051b,1592842759,added files,https://github.com/hstarmans/hexastorm/compare/23a6a926193c3012bcafff72290e4dc1754f051b...234a0529d34f54c650702209da85bc425a55c514,4,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,69cd35e95a1ef525545944d285296d23661f1b89,234a0529d34f54c650702209da85bc425a55c514,1593790328,refactared statemachine example,https://github.com/hstarmans/hexastorm/compare/234a0529d34f54c650702209da85bc425a55c514...69cd35e95a1ef525545944d285296d23661f1b89,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,e29dd0128c78a7a7e7196959b89596d763e69103,69cd35e95a1ef525545944d285296d23661f1b89,1594130161,added test for LED,https://github.com/hstarmans/hexastorm/compare/69cd35e95a1ef525545944d285296d23661f1b89...e29dd0128c78a7a7e7196959b89596d763e69103,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,1f1c48aa4f934324bffad319b4125c8a662b6f69,e29dd0128c78a7a7e7196959b89596d763e69103,1594229531,further cleaned up statemachine,https://github.com/hstarmans/hexastorm/compare/e29dd0128c78a7a7e7196959b89596d763e69103...1f1c48aa4f934324bffad319b4125c8a662b6f69,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,253947ec450ff6ea75e9ec581e12e570e83a34a1,1f1c48aa4f934324bffad319b4125c8a662b6f69,1594657036,improved memwrite and added test,https://github.com/hstarmans/hexastorm/compare/1f1c48aa4f934324bffad319b4125c8a662b6f69...253947ec450ff6ea75e9ec581e12e570e83a34a1,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,4ef407d6b0647ee52e7f91936774c9661a5aeee6,253947ec450ff6ea75e9ec581e12e570e83a34a1,1594907507,added check if writing is stopped at certain time,https://github.com/hstarmans/hexastorm/compare/253947ec450ff6ea75e9ec581e12e570e83a34a1...4ef407d6b0647ee52e7f91936774c9661a5aeee6,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,ea1a70347a7c597be6328fe27507daa0566d7056,4ef407d6b0647ee52e7f91936774c9661a5aeee6,1594993560,added ledstate,https://github.com/hstarmans/hexastorm/compare/4ef407d6b0647ee52e7f91936774c9661a5aeee6...ea1a70347a7c597be6328fe27507daa0566d7056,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
20251229_105831,bbf968389ba28cea346741a3f441bb3d233c8a9a,ea1a70347a7c597be6328fe27507daa0566d7056,1595008142,simplified write,https://github.com/hstarmans/hexastorm/compare/ea1a70347a7c597be6328fe27507daa0566d7056...bbf968389ba28cea346741a3f441bb3d233c8a9a,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=8;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=6
